epoch,train_mse,val_mse,train_mae,val_mae
1,1.0101954936981201,0.9441649913787842,0.7914263606071472,0.7902969717979431
2,1.0042985677719116,0.9385347366333008,0.7898116707801819,0.786013662815094
3,0.9973258972167969,0.9321848154067993,0.787744402885437,0.7809876799583435
4,0.9904873967170715,0.9267709851264954,0.7854111790657043,0.7760404944419861
5,0.9842351675033569,0.9225202202796936,0.7827520370483398,0.7719593644142151
6,0.9796465635299683,0.9206584692001343,0.7806971073150635,0.7697449922561646
7,0.9754998087882996,0.9204686284065247,0.7795723676681519,0.7690030336380005
8,0.9714468121528625,0.9209352135658264,0.7786737084388733,0.7691621780395508
9,0.9675616025924683,0.9219922423362732,0.7778283357620239,0.7711994647979736
10,0.9638871550559998,0.9238017201423645,0.7772122621536255,0.7737013101577759
11,0.9599323868751526,0.9255794882774353,0.7766202092170715,0.7759813666343689
12,0.9556260704994202,0.9270267486572266,0.7758810520172119,0.7776648998260498
13,0.9510605335235596,0.9279702305793762,0.7749293446540833,0.7784909009933472
14,0.9462224245071411,0.9280697703361511,0.7737539410591125,0.7783066630363464
15,0.9411951899528503,0.9274565577507019,0.7723682522773743,0.7770993709564209
16,0.9362838864326477,0.9264204502105713,0.7708479166030884,0.7764016389846802
17,0.9314801692962646,0.9253007173538208,0.7691802978515625,0.7762335538864136
18,0.9270104765892029,0.924330472946167,0.7674556374549866,0.7759954929351807
19,0.9226296544075012,0.9236924648284912,0.7657321691513062,0.7758762836456299
20,0.9182142615318298,0.9234598875045776,0.7639723420143127,0.7761009931564331
21,0.9137099385261536,0.9236823916435242,0.7622556090354919,0.7769144773483276
22,0.9090688824653625,0.9242433905601501,0.7605777382850647,0.7782281041145325
23,0.904285192489624,0.9250691533088684,0.7588861584663391,0.7796595692634583
24,0.8995028734207153,0.9260509610176086,0.7571642994880676,0.7812445163726807
25,0.8947119116783142,0.9268013834953308,0.7552355527877808,0.7825292348861694
26,0.8898512721061707,0.9271981716156006,0.7531473636627197,0.7831732630729675
27,0.88489830493927,0.9273578524589539,0.752463161945343,0.7833911180496216
