hidden_layers,activation,learning_rate,batch_size,best_val_mse,best_epoch,epochs,final_train_mse
"(128,)",ReLU,0.001,32,1.0116008520126343,9,29,0.9671286940574646
"(64, 64)",ReLU,0.001,32,1.0116572380065918,1000,1000,0.9059298038482666
"(32,)",Tanh,0.01,32,1.0126615762710571,339,359,0.8984453082084656
"(128, 64)",ReLU,0.001,32,1.0129038095474243,999,1000,0.880023717880249
"(128, 64)",ReLU,0.001,8,1.0135530233383179,222,242,0.8493236675858498
"(32,)",Tanh,0.01,16,1.0137381553649902,70,90,0.9235785603523254
"(128, 64)",Tanh,0.01,16,1.0168029069900513,36,56,0.9658834338188171
"(128, 64)",Tanh,0.01,8,1.0169802904129028,23,43,0.9227852523326874
"(32,)",Tanh,0.001,32,1.018038034439087,1000,1000,0.9453145265579224
"(128, 64)",Tanh,0.001,32,1.0181370973587036,889,909,0.9330082535743713
"(128, 64)",Tanh,0.01,32,1.018155574798584,89,109,0.9253880977630615
"(128, 64)",Tanh,0.001,8,1.0184359550476074,145,165,0.9572923481464386
"(128, 64)",Tanh,0.001,16,1.0184723138809204,294,314,0.9673849046230316
"(32,)",Tanh,0.001,8,1.0184818506240845,180,200,0.9809786230325699
"(32,)",Tanh,0.001,16,1.0192363262176514,364,384,0.9662472307682037
"(64, 64)",Tanh,0.01,8,1.0211046934127808,30,50,0.9456046372652054
"(64,)",Tanh,0.01,16,1.0213576555252075,39,59,0.9441045522689819
"(128,)",Tanh,0.01,16,1.0213754177093506,20,40,0.9182659983634949
"(32, 32)",Tanh,0.01,8,1.0213866233825684,82,102,0.9314608424901962
"(64,)",Tanh,0.01,8,1.0219262838363647,25,45,0.9476100653409958
"(64, 64)",Tanh,0.01,16,1.0222234725952148,64,84,0.9441375434398651
"(128,)",Tanh,0.001,8,1.022261142730713,107,127,0.9653948098421097
"(128,)",Tanh,0.001,32,1.0234636068344116,573,593,0.9258671402931213
"(128,)",Tanh,0.01,32,1.0234829187393188,57,77,0.9159305691719055
"(64, 64)",Tanh,0.01,32,1.0235421657562256,153,173,0.9241598844528198
