split,hidden_layers,activation,learning_rate,batch_size,momentum,l1_lambda,best_val_mse,best_epoch,epochs,best_train_mse,best_train_mae,best_val_mae
random,"(128, 64)",ReLU,0.01,16,0.0,0.0001,0.8055830597877502,623,643,0.6483011245727539,0.6345706582069397,0.7479838728904724
systematic,"(128, 64)",ReLU,0.01,32,0.0,0.0001,0.771047055721283,1000,1000,0.6711933612823486,0.6491222381591797,0.7344788312911987
