epoch,train_mse,val_mse,train_mae,val_mae
1,1.010467290878296,0.9439184665679932,0.7917057275772095,0.7898561358451843
2,1.0081616640090942,0.9414787292480469,0.7912590503692627,0.7877088785171509
3,1.0068672895431519,0.941020131111145,0.7909220457077026,0.7873350977897644
4,1.0047295093536377,0.9379699230194092,0.7903236746788025,0.7846042513847351
5,1.0026109218597412,0.9341340661048889,0.7892946004867554,0.7811310887336731
6,1.0015381574630737,0.9342708587646484,0.7892093062400818,0.7814094424247742
7,1.0002498626708984,0.9324173331260681,0.788877546787262,0.7786830067634583
8,0.9993913769721985,0.9325742125511169,0.7887497544288635,0.7784655094146729
9,0.9985770583152771,0.9308034181594849,0.7882788777351379,0.776946485042572
10,0.9967754483222961,0.9304232001304626,0.7876664400100708,0.7771040797233582
11,0.9956309199333191,0.9296050667762756,0.7871351838111877,0.7768973112106323
12,0.9943440556526184,0.9297705888748169,0.7867596745491028,0.7771047353744507
13,0.9929945468902588,0.9283149242401123,0.7861309051513672,0.7757390141487122
14,0.9924651980400085,0.9290608763694763,0.7861082553863525,0.7770566344261169
15,0.9912760853767395,0.9281498789787292,0.7855716347694397,0.7763545513153076
16,0.990193247795105,0.9276342391967773,0.7851722836494446,0.7762326598167419
17,0.9899448752403259,0.9280639886856079,0.7853240370750427,0.7766177654266357
18,0.9889131188392639,0.9280534386634827,0.7851783037185669,0.777313232421875
19,0.9883743524551392,0.9278504848480225,0.7849568128585815,0.7773929238319397
20,0.9872846603393555,0.9269541501998901,0.7844334840774536,0.775910496711731
21,0.9854864478111267,0.9255033731460571,0.7836069464683533,0.774344265460968
22,0.9847899675369263,0.9248946309089661,0.7833130955696106,0.7726929783821106
23,0.9846359491348267,0.9249569773674011,0.783354640007019,0.7723201513290405
24,0.9843289852142334,0.9258244633674622,0.783362090587616,0.7728592157363892
25,0.9832927584648132,0.9259788393974304,0.7831668853759766,0.7730816602706909
26,0.982616126537323,0.9255700707435608,0.7829672694206238,0.7726667523384094
27,0.9823573231697083,0.9252156615257263,0.7827197909355164,0.7718215584754944
28,0.9816815853118896,0.9235391020774841,0.7818226218223572,0.7696425318717957
29,0.981218695640564,0.9241573214530945,0.7818885445594788,0.7697905898094177
30,0.9799643158912659,0.9246289134025574,0.7818722128868103,0.7701961398124695
31,0.9793760180473328,0.9250584840774536,0.7819743752479553,0.7709981203079224
32,0.978389322757721,0.9261378049850464,0.7823318839073181,0.7728661298751831
33,0.977331280708313,0.927489161491394,0.7826842665672302,0.7751741409301758
34,0.9766007661819458,0.9264397025108337,0.7820575833320618,0.774423360824585
35,0.9761199355125427,0.9266223311424255,0.7820181250572205,0.7748276591300964
36,0.9756880402565002,0.925818145275116,0.7815967202186584,0.7737231850624084
37,0.9744901061058044,0.9263461232185364,0.781502366065979,0.7752305269241333
38,0.9734915494918823,0.9268481731414795,0.7814350128173828,0.7765382528305054
39,0.9730387330055237,0.9266250729560852,0.7811859846115112,0.7760995626449585
40,0.9721657633781433,0.9259659647941589,0.7808059453964233,0.7751519680023193
41,0.9715970158576965,0.9266707301139832,0.780856192111969,0.7766915559768677
42,0.9709957242012024,0.9265086054801941,0.7806780934333801,0.7766907215118408
43,0.9710223078727722,0.9255020618438721,0.7803713083267212,0.7750151753425598
44,0.9704424142837524,0.926971435546875,0.7807245850563049,0.7765052914619446
45,0.9701129794120789,0.9274922013282776,0.7808245420455933,0.7774695158004761
46,0.9697806239128113,0.926330029964447,0.7803391814231873,0.7756557464599609
47,0.9692516326904297,0.9271560311317444,0.7804660201072693,0.7768523097038269
48,0.9685973525047302,0.9259980320930481,0.7799418568611145,0.7750762701034546
