split,hidden_layers,activation,learning_rate,batch_size,momentum,best_val_mse,best_epoch,epochs,final_train_mse,final_val_mse,final_train_mae,final_val_mae
random,"(128, 64)",ReLU,0.01,16,0.0,0.8188380599021912,564,584,0.6515414118766785,0.8732084035873413,0.6617778539657593,0.7942671179771423
systematic,"(128, 64)",ReLU,0.01,32,0.0,0.7707251906394958,998,1000,0.6702154874801636,0.7710450291633606,0.64822918176651,0.7344922423362732
