epoch,train_mse,val_mse,train_mae,val_mae
1,1.0101954936981201,0.9441649913787842,0.7914263606071472,0.7902969717979431
2,1.0070817470550537,0.9412758946418762,0.7906128168106079,0.7880781888961792
3,1.0041590929031372,0.93877112865448,0.7898047566413879,0.7862777709960938
4,1.0015252828598022,0.9366429448127747,0.7890737056732178,0.7847559452056885
5,0.9992346167564392,0.934890866279602,0.7884380221366882,0.7834634184837341
6,0.9970377683639526,0.9333282709121704,0.7877832055091858,0.7823324203491211
7,0.9950199127197266,0.9319775700569153,0.7871682643890381,0.7813916802406311
8,0.9930698275566101,0.9307937622070312,0.7865477800369263,0.7805854678153992
9,0.9912620782852173,0.929735004901886,0.7859182357788086,0.7798774242401123
10,0.9895419478416443,0.9287903904914856,0.7853200435638428,0.779281735420227
11,0.98787522315979,0.9279229640960693,0.7847120761871338,0.7787792086601257
12,0.9862844347953796,0.9270837306976318,0.7841575741767883,0.7783478498458862
13,0.9847300052642822,0.9263356328010559,0.7836300134658813,0.7779265642166138
14,0.9834517240524292,0.9258424043655396,0.7832047939300537,0.7776129245758057
15,0.9823480844497681,0.9254471659660339,0.7828664183616638,0.7773309350013733
16,0.9813280701637268,0.9250323176383972,0.7825533747673035,0.7769728302955627
17,0.9803640842437744,0.9246677160263062,0.7822924852371216,0.7765738368034363
18,0.9794247150421143,0.9243989586830139,0.7820378541946411,0.7763553857803345
19,0.9785230159759521,0.9241325855255127,0.7817981839179993,0.7760792970657349
20,0.9776508808135986,0.9238539934158325,0.781558632850647,0.775791585445404
21,0.976800262928009,0.9236955642700195,0.7813507318496704,0.7756294012069702
22,0.9759766459465027,0.9235624074935913,0.78114914894104,0.7754908204078674
23,0.975156843662262,0.9234559535980225,0.7809506058692932,0.7754125595092773
24,0.9743427038192749,0.9233032464981079,0.7807251811027527,0.7752557992935181
25,0.9735351800918579,0.923172652721405,0.7805233597755432,0.7751839756965637
26,0.9727438688278198,0.9230806231498718,0.7803415060043335,0.7751478552818298
27,0.9719492793083191,0.9230177998542786,0.7801514863967896,0.7750905156135559
28,0.9711378812789917,0.9228242635726929,0.7799138426780701,0.7749759554862976
29,0.9703295826911926,0.9227324724197388,0.77972012758255,0.7749210000038147
30,0.9695284366607666,0.9226113557815552,0.7795097827911377,0.7748934030532837
31,0.9687183499336243,0.9226490259170532,0.7793174386024475,0.7749134302139282
32,0.9679049253463745,0.9224537014961243,0.7790511846542358,0.7748172283172607
33,0.9671521782875061,0.9223950505256653,0.7788394093513489,0.7748008966445923
34,0.9664753079414368,0.9223421812057495,0.7786556482315063,0.774738609790802
35,0.9657909274101257,0.9224007725715637,0.7784942984580994,0.7747923731803894
36,0.965119481086731,0.9222517609596252,0.7782871127128601,0.774685800075531
37,0.9644426703453064,0.9221932888031006,0.7780840396881104,0.7746185064315796
38,0.9637805223464966,0.9221441149711609,0.7778911590576172,0.7745736837387085
39,0.9631100296974182,0.9221929907798767,0.7777308225631714,0.7745991945266724
40,0.9624520540237427,0.9221565127372742,0.7775431275367737,0.7745572924613953
41,0.9618133306503296,0.9220278859138489,0.7773354053497314,0.7744252681732178
42,0.9611673951148987,0.9220255017280579,0.7771621346473694,0.774389922618866
43,0.9605187773704529,0.9219856262207031,0.7769712805747986,0.7743418216705322
44,0.9598712921142578,0.9219515919685364,0.7767898440361023,0.7743099927902222
45,0.9592494964599609,0.9219934344291687,0.7766466736793518,0.7743226289749146
46,0.9586242437362671,0.9219563007354736,0.7764757871627808,0.7742752432823181
47,0.95798259973526,0.9218435883522034,0.7762805819511414,0.7741490006446838
48,0.9573740363121033,0.9217634797096252,0.7760999798774719,0.7741410732269287
49,0.9567471742630005,0.9219022989273071,0.7759543061256409,0.7741349935531616
50,0.9561091065406799,0.921859085559845,0.7757846713066101,0.7741606831550598
51,0.9555094242095947,0.9218164682388306,0.7756074666976929,0.7741291522979736
52,0.9548829197883606,0.9218361973762512,0.7754239439964294,0.774089515209198
53,0.9542554020881653,0.9217777848243713,0.7752513289451599,0.7740880250930786
54,0.953656792640686,0.921808123588562,0.7750847935676575,0.774049699306488
55,0.9530289769172668,0.9218555688858032,0.7749282717704773,0.774096667766571
56,0.9524191617965698,0.9218093752861023,0.77474045753479,0.7740634679794312
57,0.9518117308616638,0.9217792749404907,0.7745687961578369,0.7740297317504883
58,0.9512091875076294,0.9218205213546753,0.7744110226631165,0.77409428358078
59,0.9505912065505981,0.9217365384101868,0.7742012143135071,0.7739472985267639
60,0.9499890208244324,0.9217974543571472,0.7740539312362671,0.7740194201469421
61,0.9493829011917114,0.921818733215332,0.7738731503486633,0.7739771604537964
62,0.9487617611885071,0.9217460751533508,0.7736919522285461,0.7740054726600647
63,0.9481781125068665,0.9218193888664246,0.7735418677330017,0.7740047574043274
64,0.9475497007369995,0.9217907786369324,0.7733529806137085,0.774004340171814
65,0.9469705820083618,0.9215906262397766,0.7731435298919678,0.7739287614822388
66,0.9463547468185425,0.9217396974563599,0.772979199886322,0.7739480137825012
67,0.9457494616508484,0.9216024279594421,0.7727884650230408,0.7739040851593018
68,0.9451618194580078,0.9215816259384155,0.7725974917411804,0.773819625377655
69,0.9445501565933228,0.921590268611908,0.7724214792251587,0.7738996148109436
70,0.9439519047737122,0.9215610027313232,0.7722277045249939,0.7737992405891418
71,0.9433512091636658,0.9216107726097107,0.7720786333084106,0.7738896608352661
72,0.9427561163902283,0.9214923977851868,0.7718527317047119,0.7737330198287964
73,0.9421536922454834,0.9214004278182983,0.7716697454452515,0.773766815662384
74,0.941562294960022,0.9215366840362549,0.7715056538581848,0.7737668752670288
75,0.9409506320953369,0.9214240908622742,0.7713233828544617,0.7737741470336914
76,0.9403900504112244,0.9214486479759216,0.7711371183395386,0.7736758589744568
77,0.9397785663604736,0.9212981462478638,0.7709288001060486,0.7736766338348389
78,0.9392167329788208,0.9212177395820618,0.7707328796386719,0.7735254764556885
79,0.9386076331138611,0.9212242364883423,0.7705640196800232,0.773604691028595
80,0.9380444884300232,0.9210522174835205,0.7703197002410889,0.7734299898147583
81,0.9374474287033081,0.9210421442985535,0.7701566815376282,0.7734766602516174
82,0.9368613958358765,0.920992910861969,0.7699577212333679,0.7733771204948425
83,0.9362829923629761,0.9208482503890991,0.7697572708129883,0.7734149694442749
84,0.93568354845047,0.9208719730377197,0.7695443034172058,0.7733195424079895
85,0.9350870847702026,0.920730471611023,0.7693427205085754,0.7733463644981384
86,0.9344901442527771,0.9208053946495056,0.769152820110321,0.7732899188995361
87,0.9338923692703247,0.9206582903862,0.7689551115036011,0.7733194828033447
88,0.9333011507987976,0.9207239151000977,0.7687588334083557,0.7732557058334351
89,0.9327080249786377,0.9205000400543213,0.7685387134552002,0.7732257843017578
90,0.9321135878562927,0.9204302430152893,0.7683197259902954,0.7731136083602905
91,0.9315282702445984,0.9204244613647461,0.7681499123573303,0.7733348608016968
92,0.9309282898902893,0.9204240441322327,0.7679427862167358,0.7733238339424133
93,0.930362343788147,0.9203944802284241,0.7677465677261353,0.773434042930603
94,0.9297609925270081,0.9202485680580139,0.7675285339355469,0.7734020352363586
95,0.9291912317276001,0.9204199910163879,0.7673550248146057,0.7735511064529419
96,0.9285921454429626,0.9202030301094055,0.7671427130699158,0.7735834121704102
97,0.9280173778533936,0.9203465580940247,0.7669569253921509,0.7736958861351013
98,0.9274292588233948,0.9201381802558899,0.7667477130889893,0.77376788854599
99,0.9268448352813721,0.9201626181602478,0.7665214538574219,0.7737556099891663
100,0.9262621402740479,0.9199416637420654,0.7663080096244812,0.7738041281700134
101,0.9256681799888611,0.9199936985969543,0.7661072015762329,0.7738791108131409
102,0.9250883460044861,0.9200536608695984,0.7659056782722473,0.773917555809021
103,0.9245004057884216,0.9199124574661255,0.7656999230384827,0.7740456461906433
104,0.923902153968811,0.9199085831642151,0.7654736042022705,0.7740241885185242
105,0.9233359694480896,0.9197601675987244,0.76527339220047,0.7741605043411255
106,0.922715961933136,0.9197998642921448,0.7650519609451294,0.7741883397102356
107,0.9221760630607605,0.9197641015052795,0.7648650407791138,0.7743149399757385
108,0.9215506315231323,0.9197194576263428,0.7646463513374329,0.7743915915489197
109,0.9209863543510437,0.9197037220001221,0.7644283771514893,0.7743803858757019
110,0.9203941822052002,0.9196509718894958,0.7642356753349304,0.7745934724807739
111,0.919803261756897,0.9195012450218201,0.7639675140380859,0.7744846940040588
112,0.9192305207252502,0.9194066524505615,0.7637738585472107,0.7746348977088928
113,0.9186317920684814,0.9193655252456665,0.7635347843170166,0.7746059894561768
114,0.9180426001548767,0.9194180369377136,0.763319730758667,0.774658203125
115,0.91746586561203,0.9192254543304443,0.7631010413169861,0.7747624516487122
116,0.9168524146080017,0.9192146062850952,0.7628551721572876,0.7747547626495361
117,0.9162998199462891,0.91910719871521,0.7626301646232605,0.7748079895973206
118,0.9156764149665833,0.9190497994422913,0.7624061703681946,0.7749038934707642
119,0.9151055812835693,0.9190304279327393,0.7621803283691406,0.7749096155166626
120,0.914511501789093,0.9189022183418274,0.7619666457176208,0.7750791907310486
121,0.9139138460159302,0.9188785552978516,0.7617241144180298,0.7750576138496399
122,0.9133336544036865,0.9189189672470093,0.761500895023346,0.7751097083091736
123,0.9127466678619385,0.9187002778053284,0.7612712979316711,0.775209367275238
124,0.9121338129043579,0.9185621738433838,0.760979950428009,0.7750759124755859
125,0.9115811586380005,0.9184665679931641,0.7607620358467102,0.7751569151878357
126,0.9109567999839783,0.918430507183075,0.7605295777320862,0.7752960324287415
127,0.9103812575340271,0.9183692932128906,0.7602869868278503,0.7752813696861267
128,0.9097923636436462,0.9182050228118896,0.7600618004798889,0.7754215598106384
129,0.909193754196167,0.9182983040809631,0.759826123714447,0.7754589915275574
130,0.9086046814918518,0.9181321859359741,0.7595525979995728,0.7753869891166687
131,0.9080177545547485,0.9180416464805603,0.7593300938606262,0.7755887508392334
132,0.9074127674102783,0.9178694486618042,0.759061872959137,0.7754853367805481
133,0.9068241119384766,0.9179801344871521,0.7588247656822205,0.7755534648895264
134,0.906250536441803,0.9177872538566589,0.7586067914962769,0.7757156491279602
135,0.9056223034858704,0.9177844524383545,0.758345365524292,0.7757242321968079
136,0.9050580263137817,0.9176105260848999,0.7580937147140503,0.7757102251052856
137,0.9044556021690369,0.9175300002098083,0.7578615546226501,0.7758305668830872
138,0.9038561582565308,0.917475163936615,0.7575953006744385,0.7757990956306458
139,0.903270959854126,0.9173606038093567,0.7573454976081848,0.775824248790741
140,0.9026828408241272,0.9173627495765686,0.757121205329895,0.7760133147239685
141,0.9020732641220093,0.9170296788215637,0.7567824125289917,0.7757494449615479
142,0.9014892578125,0.9170669317245483,0.7565591931343079,0.7759323716163635
143,0.9009043574333191,0.9168376326560974,0.7562933564186096,0.7759261727333069
144,0.900284469127655,0.9168698787689209,0.756041407585144,0.7759384512901306
145,0.8997136354446411,0.9166929721832275,0.7557786107063293,0.7759771943092346
146,0.8991103768348694,0.916547417640686,0.7555244565010071,0.7760183215141296
147,0.898511528968811,0.9166063666343689,0.755252480506897,0.7760900259017944
148,0.897922694683075,0.9162874817848206,0.7549694180488586,0.7759722471237183
149,0.8973411321640015,0.9162701964378357,0.7547415494918823,0.7761526107788086
150,0.8967399001121521,0.9161612391471863,0.7544507384300232,0.7760190367698669
151,0.8961236476898193,0.9161534905433655,0.7541752457618713,0.7760412693023682
152,0.8955756425857544,0.9159666895866394,0.7539292573928833,0.7760905623435974
153,0.894953727722168,0.9158070683479309,0.7536506652832031,0.776128351688385
154,0.894351065158844,0.9158974289894104,0.7533873319625854,0.7762033343315125
155,0.8938027024269104,0.9157177209854126,0.7531405091285706,0.7762387990951538
156,0.893189549446106,0.9155552387237549,0.752862811088562,0.776267409324646
157,0.8925965428352356,0.9154477715492249,0.7525755763053894,0.7762042880058289
158,0.8920114040374756,0.9153457880020142,0.7523107528686523,0.7762815356254578
159,0.8914427161216736,0.9153034090995789,0.7520790100097656,0.7764447927474976
160,0.8908448815345764,0.9151105880737305,0.7517696022987366,0.7762117981910706
161,0.8902448415756226,0.9149531722068787,0.7514367699623108,0.7761228680610657
162,0.8896810412406921,0.9147180318832397,0.7511624693870544,0.7761068940162659
163,0.8890891671180725,0.9146049618721008,0.7509148120880127,0.7762813568115234
164,0.8884919881820679,0.9146177768707275,0.7506292462348938,0.776204526424408
165,0.8879106044769287,0.9143933653831482,0.7503481507301331,0.7762149572372437
166,0.8873220086097717,0.9142318964004517,0.7500759959220886,0.7763157486915588
167,0.8867321610450745,0.9142187833786011,0.7497820258140564,0.7762922048568726
168,0.886160135269165,0.9139614701271057,0.7494738698005676,0.7760674357414246
169,0.8855550289154053,0.9139478802680969,0.7492137551307678,0.7762495875358582
170,0.8849839568138123,0.9137186408042908,0.7489425539970398,0.7763478755950928
171,0.8843761086463928,0.9136140942573547,0.7486315965652466,0.7762331366539001
172,0.8837937712669373,0.9135704040527344,0.7483612895011902,0.776350736618042
173,0.883221447467804,0.9133898019790649,0.7482118606567383,0.7761896252632141
174,0.8826174139976501,0.9131994843482971,0.7479977011680603,0.776275098323822
175,0.8820361495018005,0.9132569432258606,0.7479090094566345,0.7763198614120483
176,0.8814489841461182,0.9128242135047913,0.7477023601531982,0.7761544585227966
177,0.8808637261390686,0.9129086136817932,0.7476009130477905,0.7762054204940796
178,0.8802788257598877,0.9125612378120422,0.7473822236061096,0.7761755585670471
179,0.8796905875205994,0.9125423431396484,0.7472579479217529,0.7762048840522766
180,0.8790931701660156,0.9124392867088318,0.7470964193344116,0.7762535214424133
181,0.8785268664360046,0.9122795462608337,0.7469574213027954,0.7761424779891968
182,0.8779274225234985,0.9119930267333984,0.7467338442802429,0.7761465907096863
183,0.8773394823074341,0.9120574593544006,0.7466300129890442,0.7761716246604919
184,0.8767603635787964,0.9116153717041016,0.7463682293891907,0.7760820388793945
185,0.8761749863624573,0.9114415049552917,0.7462433576583862,0.7759633660316467
186,0.8755837082862854,0.9113492369651794,0.7460203170776367,0.7761545777320862
187,0.8750048279762268,0.9111344218254089,0.7458881139755249,0.776018500328064
188,0.8744115829467773,0.9108772873878479,0.7456583380699158,0.7760732173919678
189,0.873828113079071,0.9108579754829407,0.7455428838729858,0.7760406732559204
190,0.8732544779777527,0.9105505347251892,0.7453259229660034,0.7761214971542358
191,0.8726570010185242,0.9104081392288208,0.745238184928894,0.7760219573974609
192,0.8720778822898865,0.9103843569755554,0.7450377345085144,0.7762109041213989
193,0.8714893460273743,0.9101491570472717,0.744943380355835,0.7760611772537231
194,0.8709125518798828,0.9098793864250183,0.744735598564148,0.7761512994766235
195,0.8703212738037109,0.909957766532898,0.7446129322052002,0.7762218117713928
196,0.8697498440742493,0.9097242951393127,0.7445207238197327,0.7760788798332214
197,0.8691501617431641,0.9095105528831482,0.7443313002586365,0.7761505246162415
198,0.8685842156410217,0.9095045924186707,0.7442363500595093,0.776136040687561
199,0.8680213093757629,0.9092413783073425,0.7439964413642883,0.7762709259986877
200,0.8674386143684387,0.9091110825538635,0.7439078688621521,0.7761664986610413
201,0.8668674826622009,0.9090963006019592,0.7437248229980469,0.7763423919677734
202,0.8662947416305542,0.9089406132698059,0.7435996532440186,0.7762867212295532
203,0.8657369017601013,0.9088125824928284,0.743510901927948,0.7761960625648499
204,0.8651562333106995,0.908713698387146,0.7432778477668762,0.7764036059379578
205,0.8646085858345032,0.9085078835487366,0.7431837916374207,0.7763000726699829
206,0.8640415072441101,0.9084540009498596,0.7429855465888977,0.7764434218406677
207,0.8634499907493591,0.9083722829818726,0.7428748607635498,0.7763960957527161
208,0.8629181981086731,0.9084178805351257,0.7427778244018555,0.7764395475387573
209,0.8623514175415039,0.907827615737915,0.7425345778465271,0.7763531804084778
210,0.8617842793464661,0.9076715111732483,0.7424135804176331,0.7762722373008728
211,0.8612250089645386,0.9075958132743835,0.7422325015068054,0.7763969898223877
212,0.8606541752815247,0.9074084162712097,0.7420923113822937,0.7763251662254333
213,0.8600988388061523,0.9073457717895508,0.741981565952301,0.7763113379478455
214,0.8595356345176697,0.9072049260139465,0.741756796836853,0.7764798998832703
215,0.8589877486228943,0.9072518944740295,0.7416219115257263,0.7765278220176697
216,0.8584228157997131,0.9069569110870361,0.7414210438728333,0.7765729427337646
217,0.8578559160232544,0.9068504571914673,0.7413224577903748,0.7765023112297058
218,0.8572909832000732,0.9069042801856995,0.7411870360374451,0.7765272855758667
219,0.8567494750022888,0.9064698815345764,0.7409471869468689,0.7765712738037109
220,0.8561924695968628,0.9065706729888916,0.7408093214035034,0.7766416072845459
221,0.8556321859359741,0.9062188863754272,0.7406361103057861,0.7765801548957825
222,0.8550767302513123,0.9061872363090515,0.7405273914337158,0.7765452265739441
223,0.8545094132423401,0.9060603976249695,0.7403730750083923,0.7765188217163086
