epoch,train_mse,val_mse,train_mae,val_mae
1,1.0101954936981201,0.9441649317741394,0.791426420211792,0.7902969121932983
2,1.004298448562622,0.9385347366333008,0.7898115515708923,0.7860137820243835
3,0.9973258972167969,0.9321848154067993,0.787744402885437,0.7809877991676331
4,0.9904873967170715,0.9267711043357849,0.7854111194610596,0.7760408520698547
5,0.9842354655265808,0.9225205183029175,0.7827520966529846,0.7719599604606628
6,0.9796473383903503,0.9206591248512268,0.7806975245475769,0.7697457671165466
7,0.9755008220672607,0.9204694032669067,0.7795729041099548,0.7690039277076721
8,0.9714483618736267,0.920935869216919,0.7786744832992554,0.7691630125045776
9,0.967563807964325,0.9219930171966553,0.7778293490409851,0.7712001204490662
10,0.9638901948928833,0.9238023161888123,0.7772133946418762,0.7737017273902893
11,0.959936261177063,0.9255799651145935,0.7766215801239014,0.7759816646575928
12,0.9556311964988708,0.92702716588974,0.7758828401565552,0.7776651382446289
13,0.9510672092437744,0.9279707670211792,0.7749316096305847,0.7784913182258606
14,0.9462307691574097,0.9280706644058228,0.7737566828727722,0.7783076167106628
15,0.9412052035331726,0.9274576902389526,0.7723716497421265,0.7771010994911194
16,0.9362958073616028,0.926422119140625,0.7708521485328674,0.7764012813568115
17,0.931493878364563,0.9253025054931641,0.7691853642463684,0.7762333154678345
18,0.9270258545875549,0.924332320690155,0.7674615979194641,0.775995135307312
19,0.9226468801498413,0.9236938953399658,0.7657392024993896,0.7758756279945374
20,0.9182337522506714,0.9234607815742493,0.7639802694320679,0.7760996222496033
21,0.9137316346168518,0.9236828088760376,0.7622647881507874,0.776910126209259
22,0.9090932011604309,0.924243152141571,0.7605879306793213,0.778222918510437
23,0.9043123126029968,0.9250684380531311,0.7588977813720703,0.7796537280082703
24,0.899532675743103,0.9260496497154236,0.7571774125099182,0.7812395095825195
25,0.8947447538375854,0.9268003702163696,0.7552507519721985,0.7825247645378113
26,0.8898864984512329,0.9271982908248901,0.7531540989875793,0.7831699252128601
27,0.884936511516571,0.9273591637611389,0.752470850944519,0.7833898067474365
