split,model,mse,rmse,mae,r2
random,momentum,0.44714654178698277,0.6686901687530502,0.5560555099332304,0.11266622478436106
systematic,baseline,0.41949302403371197,0.647682811284746,0.5253824549983496,0.19093440093541303
