split,mean_residual,std_residual,min_residual,max_residual,median_residual,rmse
random,-0.09161184144767051,0.6623849426832932,-1.811030353123152,2.277710608816573,-0.12984005474368204,0.6686901692007189
systematic,0.06910615420235815,0.64398553049356,-1.7800987909378645,1.9863603335384816,-0.00427132417944345,0.64768281169564
