hidden_layers,activation,learning_rate,batch_size,best_val_mse,best_epoch,epochs,final_train_mse
"(32,)",ReLU,0.01,16,0.9271469116210938,11,31,0.9689596593379974
"(64,)",Tanh,0.01,16,0.9273064136505127,9,29,1.0047869086265564
"(32,)",ReLU,0.001,16,0.9285601377487183,106,126,1.0185929834842682
"(32,)",ReLU,0.01,32,0.9287421703338623,19,39,0.9899253249168396
"(32,)",ReLU,0.001,32,0.9290432333946228,206,226,1.00330650806427
"(32,)",ReLU,0.001,8,0.9293003082275391,59,79,0.9766320437192917
"(128,)",Tanh,0.001,8,0.930048406124115,32,52,1.01028411090374
"(32,)",ReLU,0.01,8,0.9308758974075317,11,31,0.9622110724449158
"(32,)",Tanh,0.01,16,0.9317530393600464,36,56,0.9728390276432037
"(64,)",Tanh,0.001,8,0.933063268661499,11,31,0.9812463223934174
"(128,)",Tanh,0.001,16,0.9340181946754456,23,43,0.9757985770702362
"(128,)",Tanh,0.001,32,0.9356979131698608,42,62,0.9948872327804565
"(64,)",Tanh,0.001,16,0.9360571503639221,19,39,1.0009900629520416
"(128,)",Tanh,0.01,32,0.9362342953681946,3,23,0.9861724376678467
"(64,)",Tanh,0.001,32,0.936505913734436,46,66,0.9967920780181885
"(32,)",Tanh,0.001,8,0.9365792870521545,106,126,0.984653651714325
"(64,)",ReLU,0.001,16,0.9368917942047119,15,35,1.0279333889484406
"(64,)",ReLU,0.001,8,0.9369354844093323,8,28,0.9713838919997215
"(64,)",ReLU,0.001,32,0.9369460940361023,28,48,1.0116865634918213
"(64,)",ReLU,0.01,16,0.9370606541633606,1,21,0.9996159970760345
"(64,)",ReLU,0.01,32,0.9370699524879456,3,23,0.9894676804542542
"(64,)",Tanh,0.01,32,0.937434196472168,4,24,0.9856545925140381
"(32,)",Tanh,0.001,16,0.9388116002082825,130,150,0.9908790290355682
"(32,)",Tanh,0.01,32,0.9388971924781799,27,47,0.9729788303375244
"(32,)",Tanh,0.001,32,0.9390566349029541,298,318,0.974797785282135
"(32, 32)",Tanh,0.01,8,0.9516252279281616,13,33,0.9869371801614761
"(32, 32)",Tanh,0.01,16,0.9553624391555786,14,34,1.0068837106227875
"(32, 32)",Tanh,0.001,8,0.958884060382843,66,86,1.011567309498787
"(32, 32)",Tanh,0.001,16,0.9594799876213074,134,154,0.9841713905334473
"(32, 32)",Tanh,0.01,32,0.9596453309059143,26,46,0.9914217591285706
"(32, 32)",Tanh,0.001,32,0.9597598910331726,268,288,0.9941843152046204
